,missions_been_on,failed_missions_been_on,missions_voted_up1,missions_voted_up2,missions_voted_up3,missions_voted_up4,missions_voted_up5,missions_voted_up6,missions_voted_down1,missions_voted_down2,missions_voted_down3,missions_voted_down4,missions_voted_down5,missions_voted_down6,Spy
211,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0
212,3,2,2,0,2,1,0,0,0,0,0,0,0,0,0
213,2,2,2,0,1,3,0,0,0,0,0,0,0,0,1
214,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0
215,1,1,1,0,0,0,0,0,5,2,1,0,0,0,1
216,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0
217,2,2,0,0,0,0,1,0,2,0,2,0,0,0,1
218,2,2,0,1,0,0,0,0,4,0,0,0,1,0,1
219,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0
220,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
221,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
222,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
223,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0
224,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0
225,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
226,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1
227,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1
228,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1
229,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
230,1,0,2,0,0,1,0,0,0,2,1,0,0,0,0
231,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0
232,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1
233,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0
234,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1
235,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
236,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
237,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1
238,2,2,3,1,0,2,0,0,0,0,0,0,0,0,1
239,0,0,3,0,0,0,0,0,1,1,1,0,0,0,1
240,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
241,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1
242,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1
243,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
244,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
245,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
246,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
247,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0
248,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0
249,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0
250,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0
251,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
252,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
253,1,1,0,1,0,0,0,0,2,2,2,0,0,0,1
254,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0
255,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
256,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0
257,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
258,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1
259,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
260,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0
261,2,2,0,0,0,0,0,0,1,1,1,1,0,0,1
262,1,1,0,0,0,0,0,0,1,1,2,0,0,0,1
263,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1
264,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0
265,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
267,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0
268,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0
269,3,2,1,0,1,0,0,1,5,1,2,0,0,0,0
270,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1
271,1,1,0,1,0,0,0,0,3,1,1,0,0,0,1
272,1,1,2,1,0,1,0,0,1,0,0,2,0,0,0
273,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
274,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0
275,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1
277,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1
278,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
279,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
280,1,0,1,2,1,1,0,0,0,1,1,1,0,0,1
281,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
282,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
283,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1
284,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0
285,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1
286,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
287,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0
288,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1
289,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1
290,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1
291,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1
292,3,2,3,0,1,0,0,1,0,0,0,0,0,0,0
